no_task,st_game,makespan1,makespan2,workload1,workload2,cost1,cost2,DGT-csp1-F1,baseline-csp1-F2,DGT-csp2-F1,baseline-csp2-F2,DGT-csp3-F1,baseline-csp3-F2,F1,F2
29,4,22.607,25.296,3.659533,3.625,1.309,1.388,0.960444,0.956728,0.969253,0.964193,0.980402,0.975745,0.967981,0.962892
79,10,57.686,61.343,9.875,9.875,3.534,3.679,0.965481,0.961114,0.968728,0.960358,0.978228,0.977378,0.969398,0.963746
99,12,70.313,75.586,12.375,12.375,4.418,4.643,0.963481,0.960539,0.966439,0.962167,0.978081,0.977599,0.967716,0.964587
129,16,92.018,98.199,16.125,16.125,5.723,6.06,0.962217,0.961253,0.9651,0.965359,0.977327,0.974047,0.966457,0.965259
149,19,106.066,112.267,18.625,18.625,6.647,6.989,0.962719,0.960802,0.96382,0.963675,0.978328,0.97463,0.966314,0.964613
179,22,127.505,134.302,22.375,22.375,7.974,8.375,0.961513,0.958314,0.967015,0.962415,0.977437,0.973681,0.967029,0.963165
199,25,140.638,148.571,24.875,24.875,8.843,9.314,0.962163,0.95895,0.964183,0.961979,0.977173,0.974756,0.966023,0.963487
229,29,163.029,170.737,28.625,28.625,10.151,10.729,0.96102,0.960908,0.965988,0.962501,0.978118,0.975212,0.966541,0.964446
249,31,175.052,185.57,31.125,31.125,11.061,11.658,0.959387,0.959862,0.964736,0.96176,0.979006,0.975776,0.965769,0.963783
279,35,197.558,207.182,34.875,34.875,12.419,13.075,0.962193,0.959221,0.964801,0.962457,0.97861,0.975246,0.96668,0.963855
299,37,210.133,222.017,37.375,37.375,13.247,13.98,0.961674,0.959289,0.964396,0.963526,0.979528,0.976036,0.966479,0.964557
329,41,231.856,243.573,41.125,41.125,14.616,15.358,0.961339,0.960753,0.964636,0.962074,0.977816,0.9755,0.966085,0.964378
349,44,245.639,258.34,43.625,43.625,15.489,16.296,0.961213,0.959031,0.963947,0.962035,0.979285,0.975256,0.966167,0.96352
379,47,266.626,280.722,47.375,47.375,16.796,17.699,0.962205,0.959075,0.964172,0.963563,0.978848,0.97471,0.96629,0.96407
399,50,280.888,293.773,49.875,49.875,17.78,18.644,0.961303,0.959672,0.965912,0.962392,0.978316,0.975371,0.966784,0.964002
